title,provider,source,level,url,interest_key,external_id
CS50x: Introduction to Computer Science,Harvard / edX,Course,Beginner,https://cs50.harvard.edu/x/,engineering_cse_it,cs50x-course
Python for Everybody (Full Video),freeCodeCamp,YouTube,Beginner,https://www.youtube.com/watch?v=rfscVS0vtbw,engineering_cse_it,yt-rfscVS0vtbw
Machine Learning,NPTEL,NPTEL,Intermediate,https://nptel.ac.in/courses/106/106/106106139/,engineering_ai_ds,nptel-106106139
Data Analysis with Python,freeCodeCamp,Course,Intermediate,https://www.freecodecamp.org/learn/data-analysis-with-python/,engineering_ai_ds,fcc-data-analysis-python
Data Structures and Algorithms in Java,NPTEL,NPTEL,Intermediate,https://nptel.ac.in/courses/106/105/106105225/,arts_science_computer_science,nptel-106105225
Responsive Web Design,freeCodeCamp,Course,Beginner,https://www.freecodecamp.org/learn/2022/responsive-web-design/,arts_science_computer_science,fcc-responsive-web
Principles of Management,NPTEL,NPTEL,Beginner,https://nptel.ac.in/courses/110/105/110105146/,arts_science_commerce_bba,nptel-110105146
Introduction to Psychology,Yale / Coursera,Course,Beginner,https://www.coursera.org/learn/introduction-psychology,arts_science_media_psychology,coursera-intro-psych
Signals and Systems,NPTEL,NPTEL,Intermediate,https://nptel.ac.in/courses/108/101/108101005/,engineering_ece_eee,nptel-108101005
Surveying,NPTEL,NPTEL,Intermediate,https://nptel.ac.in/courses/105/107/105107122/,engineering_civil_arch,nptel-105107122
